geographyFk,houseMedianPrice,listingCount,geography,families,reliability,monthlyIncome,monthlyExpenses,netIncome,capacityToPayPagibig,capacityToPayBank,pagIbigRequiredLoan,pagIbigAmmortization,pagIbigCapacity,pagIbigGap,pagIbigLoanStatus,bankRequiredLoan,bankAmmortization,bankCapacity,bankGap,bankLoanStatus
015500000,453600.00,437,pangasinan,769,High,24979,17597,7382,8742.65,7493.70,408240,2382.38,8742.65,-6360.27,Applicable,362880,2813.40,7493.70,-4680.30,Applicable
097300000,2138800.00,37,zamboanga del sur,230,High,19296,13781,5515,6753.60,5788.80,1924920,11233.31,6753.60,4479.71,Not Applicable,1711040,13265.67,5788.80,7476.87,Not Applicable
071200000,2150000.00,8,bohol,332,High,24374,16104,8270,8530.90,7312.20,1935000,11292.13,8530.90,2761.23,Not Applicable,1720000,13335.14,7312.20,6022.94,Not Applicable
064501000,1146800.00,332,bacolod,147,Moderate,30597,24401,6196,10708.95,9179.10,1032120,6023.17,10708.95,-4685.78,Applicable,917440,7112.90,9179.10,-2066.20,Applicable
137502000,2964400.00,4,malabon,90,Low,31717,24793,6924,11100.95,9515.10,2667960,15569.49,11100.95,4468.54,Not Applicable,2371520,18386.37,9515.10,8871.27,Not Applicable
137604000,3990000.00,297,parañaque,206,High,46371,32041,14330,16229.85,13911.30,3591000,20956.10,16229.85,4726.25,Not Applicable,3192000,24747.54,13911.30,10836.24,Not Applicable
137501000,1573600.00,158,caloocan,392,High,32770,24742,8028,11469.50,9831.00,1416240,8264.79,11469.50,-3204.71,Applicable,1258880,9760.08,9831.00,-70.92,Applicable
045624000,1276000.00,311,lucena,68,Low,30161,25058,5103,10556.35,9048.30,1148400,6701.75,10556.35,-3854.60,Applicable,1020800,7914.25,9048.30,-1134.05,Applicable
103504000,3447000.00,2,iligan,90,Low,32105,22005,10100,11236.75,9631.50,3102300,18104.18,11236.75,6867.43,Not Applicable,2757600,21379.64,9631.50,11748.14,Not Applicable
137403000,3763260.00,342,pasig,221,High,49198,35453,13745,17219.30,14759.40,3386934,19765.23,17219.30,2545.93,Not Applicable,3010608,23341.21,14759.40,8581.81,Not Applicable
129804000,3884000.00,5,cotabato,62,Low,19376,17936,1440,6781.60,5812.80,3495600,20399.37,6781.60,13617.77,Not Applicable,3107200,24090.09,5812.80,18277.29,Not Applicable
141102000,4500000.00,24,baguio,107,Moderate,36933,24448,12485,12926.55,11079.90,4050000,23634.70,12926.55,10708.15,Not Applicable,3600000,27910.76,11079.90,16830.86,Not Applicable
072226000,1772100.00,143,lapu-lapu,132,Moderate,35687,24811,10876,12490.45,10706.10,1594890,9307.35,12490.45,-3183.10,Applicable,1417680,10991.26,10706.10,285.16,Not Applicable
104305000,2880000.00,126,cagayan de oro,205,High,32244,22031,10213,11285.40,9673.20,2592000,15126.21,11285.40,3840.81,Not Applicable,2304000,17862.89,9673.20,8189.69,Not Applicable
137602000,4203000.00,275,makati,206,High,66628,42242,24386,23319.80,19988.40,3782700,22074.81,23319.80,-1244.99,Applicable,3362400,26068.65,19988.40,6080.25,Not Applicable
137401000,4450200.00,197,mandaluyong,141,Moderate,55502,42349,13153,19425.70,16650.60,4005180,23373.14,19425.70,3947.44,Not Applicable,3560160,27601.88,16650.60,10951.28,Not Applicable
126303000,2172000.00,81,general santos,173,Moderate,27652,20299,7353,9678.20,8295.60,1954800,11407.68,9678.20,1729.48,Not Applicable,1737600,13471.59,8295.60,5175.99,Not Applicable
137601000,7560000.00,399,las piñas,163,Moderate,49578,32623,16955,17352.30,14873.40,6804000,39706.30,17352.30,22354.00,Not Applicable,6048000,46890.08,14873.40,32016.68,Not Applicable
137607000,1462500.00,949,taguig,289,High,43300,31018,12282,15155.00,12990.00,1316250,7681.28,15155.00,-7473.72,Applicable,1170000,9071.00,12990.00,-3919.00,Applicable
137605000,4789400.00,105,pasay,122,Moderate,39776,27749,12027,13921.60,11932.80,4310460,25154.67,13921.60,11233.07,Not Applicable,3831520,29705.73,11932.80,17772.93,Not Applicable
112402000,2163000.00,233,davao,564,High,34409,19873,14536,12043.15,10322.70,1946700,11360.41,12043.15,-682.74,Applicable,1730400,13415.77,10322.70,3093.07,Not Applicable
137504000,1696800.00,134,valenzuela,173,Moderate,33589,25443,8146,11756.15,10076.70,1527120,8911.86,11756.15,-2844.29,Applicable,1357440,10524.22,10076.70,447.52,Not Applicable
137603000,3260480.00,100,muntinlupa,159,Moderate,42182,31346,10836,14763.70,12654.60,2934432,17124.55,14763.70,2360.85,Not Applicable,2608384,20222.77,12654.60,7568.17,Not Applicable
160202000,1623300.00,25,butuan,94,Low,31574,23611,7963,11050.90,9472.20,1460970,8525.82,11050.90,-2525.08,Applicable,1298640,10068.34,9472.20,596.14,Not Applicable
137402000,5295000.00,22,marikina,109,Moderate,46379,37595,8784,16232.65,13913.70,4765500,27810.16,16232.65,11577.51,Not Applicable,4236000,32841.66,13913.70,18927.96,Not Applicable
