,id,geographyFk_city,geographyFk_province,title,price,pricePerSqm,floorArea,lotArea,propertyCategory
64,23a6fb49-f34d-4097-a880-58613d5fdc86,42109000,42100000,With Improvement,4503000.0,30020.0,141.02,150.0,Lot with Improvement
65,a4a3026b-a835-4fec-98a8-7a8b954e8e81,133900000,130000000,With Improvement,7680000.0,240000.0,96.0,32.0,Lot with Improvement
66,74c43197-f3fa-4a1b-84df-7b06d2f466b0,42108000,42100000,With Improvement,1793000.0,35860.0,60.0,50.0,Lot with Improvement
67,9ba7e9ec-ab2a-4be1-82c5-ac11c336a5fa,42108000,42100000,With Improvement,1531000.0,30620.0,50.0,50.0,Lot with Improvement
68,53096992-5d6b-4d13-a65c-43e72420f1d0,133900000,130000000,With Improvement,5397000.0,55548.0,140.29,97.16,Lot with Improvement
69,064e783a-0070-43e8-b0e8-72baaddedf3d,133900000,130000000,With Improvement,3056000.0,72762.0,104.0,42.0,Lot with Improvement
70,517d80b5-3edd-47b5-9007-3db5e9793cb1,42108000,42100000,With Improvement,1900000.0,38000.0,60.0,50.0,Lot with Improvement
71,bbaf4a3e-167d-4b1f-940e-c1282f12cd9e,,31400000,With Improvement,3067000.0,18041.0,165.06,170.0,Lot with Improvement
72,b16d4c40-0710-4cf0-a41a-2780929f2b4a,42108000,42100000,With Improvement,1919000.0,32525.0,60.0,59.0,Lot with Improvement
73,f9e8a966-9c0c-4703-b933-6ede5437b439,97332000,97300000,With Improvement,3284000.0,10947.0,255.41,300.0,Lot with Improvement
74,214c283f-5905-4505-8f4e-0ed7b2479a80,42108000,42100000,With Improvement,1465000.0,29300.0,50.0,50.0,Lot with Improvement
75,595a6c3c-2af3-4945-8392-bbd0f3a882ad,42108000,42100000,Townhouse,1450000.0,29000.0,50.0,50.0,Townhouse
76,a9ab5100-d2ad-46dd-b70b-852ae22d6422,42108000,42100000,With Improvement,1700000.0,34000.0,60.0,50.0,Lot with Improvement
77,51eacd47-386e-4f1e-919c-72727ce119f0,104305000,104300000,With Improvement,2639000.0,17136.0,87.0,154.0,Lot with Improvement
78,e3c32ae7-f192-4181-a3bd-d166ed9d9288,42108000,42100000,With Improvement,1931000.0,27986.0,50.0,69.0,Lot with Improvement
79,9020c832-c790-4e4e-b766-a951f09e5e77,42108000,42100000,With Improvement,1904000.0,38080.0,60.0,50.0,Lot with Improvement
80,dbdaffce-4171-4ebd-b408-35c1394e3e80,42108000,42100000,Townhouse,1735000.0,34700.0,60.0,50.0,Townhouse
81,a6e0b115-d3ed-4824-a5fb-20121df13a99,42108000,42100000,With Improvement,1924000.0,38480.0,60.0,50.0,Lot with Improvement
82,42cbb6b5-059e-45c1-94a1-dece4f892c77,42108000,42100000,With Improvement,1974000.0,35891.0,60.0,55.0,Lot with Improvement
83,c7d06667-291f-477e-a753-f9da150cbaeb,112315000,112300000,With Improvement,6294000.0,10490.0,310.0,600.0,Lot with Improvement
84,fe8335c8-4ed0-45e5-bcb2-b991b62aa793,42108000,42100000,With Improvement,1548000.0,30960.0,60.0,50.0,Lot with Improvement
85,09f37d22-9ffb-4e19-9d23-d835917c851f,42108000,42100000,With Improvement,1611000.0,32220.0,60.0,50.0,Lot with Improvement
86,ffb65680-d71a-4de1-9264-15a7553ccbec,97322000,97300000,With Improvement,1655000.0,5517.0,115.0,300.0,Lot with Improvement
87,8281ec8d-f804-4620-bbc7-bea7012309fe,133900000,130000000,With Improvement,5025000.0,46528.0,198.09,108.0,Lot with Improvement
88,988d6983-3252-45c4-8ef0-34503e43d067,42108000,42100000,With Improvement,1575000.0,31500.0,60.0,50.0,Lot with Improvement
89,e7744c2b-3dcb-4b3b-8b25-38d531bf0d7c,42103000,42100000,House & Lot,8051000.0,31697.0,131.0,254.0,House & Lot
90,98042353-2db6-4bda-bd7a-5d3e2e0f63cf,42109000,42100000,With Improvement,4751000.0,31154.0,104.0,152.5,Lot with Improvement
91,38875e1f-80c2-4478-9537-4fe84e42a91a,43425000,43400000,With Improvement,4156000.0,20574.0,128.25,202.0,Lot with Improvement
92,2d73c6b8-3b90-4e3d-ae9a-1f472be561e8,133900000,130000000,With Improvement,20392000.0,73884.0,941.95,276.0,Lot with Improvement
93,874975b4-d9dc-4750-95a3-3348c8db41ff,42108000,42100000,With Improvement,1574000.0,31480.0,60.0,50.0,Lot with Improvement
94,1170c366-be98-4da8-b71e-c5a0d9009fd4,133900000,130000000,With Improvement,6467000.0,137889.0,98.13,46.9,Lot with Improvement
95,3127b7a5-0232-47e2-8497-aa67234dedf0,133900000,130000000,With Improvement,41795000.0,69658.0,575.26,600.0,Lot with Improvement
96,5bc3ef46-ddb9-4902-b8a0-a4c23f1bfbd7,133900000,130000000,With Improvement,4922000.0,66966.0,132.15,73.5,Lot with Improvement
97,d17917cf-5115-4d7e-afd1-b0f1974f8802,,45800000,With Improvement,2740000.0,4492.0,240.0,610.0,Lot with Improvement
98,1c8baaf6-c9b6-4600-8dc8-f775d3c70393,43425000,43400000,With Improvement,6385000.0,43435.0,312.31,147.0,Lot with Improvement
99,cca2ec6b-b2c1-4ef0-a2cc-345d85266d54,42108000,42100000,With Improvement,2364000.0,24625.0,70.0,96.0,Lot with Improvement
100,b4b14696-4e86-40de-a34d-12594a20bc36,137405000,130000000,With Improvement,8080000.0,79216.0,257.3,102.0,Lot with Improvement
101,1e9e3ca8-cade-43ee-bfbf-0a98dc58fd23,42108000,42100000,With Improvement,1584000.0,31680.0,60.0,50.0,Lot with Improvement
102,f5e1b320-49d8-4dc5-86af-b1434c9fb979,133900000,130000000,With Improvement,18193000.0,48775.0,248.61,373.0,Lot with Improvement
103,29e93fcb-b231-4af4-8e7c-bd7f2faced82,42108000,42100000,With Improvement,1878000.0,23475.0,52.0,80.0,Lot with Improvement
104,623c0a72-a952-480b-b7d3-69b1206c36ef,42108000,42100000,Townhouse,1860000.0,31000.0,70.0,60.0,Townhouse
105,42d10989-4534-4e14-9184-b29cd57412bf,112402000,112400000,With Improvement,2311000.0,23110.0,75.0,100.0,Lot with Improvement
106,f906b1f0-e430-4e7e-a923-740524b9dab5,42106000,42100000,With Improvement,2701000.0,28135.0,112.3,96.0,Lot with Improvement
107,efbe17fd-314d-41c6-8f25-2607b3b70c6d,112402000,112400000,With Improvement,1005000.0,10050.0,65.96,100.0,Lot with Improvement
108,22452d67-cb52-44ab-8a37-a6bee89c8e67,133900000,130000000,With Improvement,21031000.0,69639.0,343.0,302.0,Lot with Improvement
109,696fee31-7e5b-498c-9bca-41bbf6ff11c1,42108000,42100000,With Improvement,5482000.0,57705.0,97.59,95.0,Lot with Improvement
110,11d4071c-f480-4cac-9061-3ea1abf4d862,42108000,42100000,With Improvement,1618000.0,32360.0,60.0,50.0,Lot with Improvement
111,4874abdb-34ab-4b3e-9043-831d4a50fe94,42106000,42100000,With Improvement,3030000.0,16833.0,83.0,180.0,Lot with Improvement
112,bdb27199-8105-4d52-b720-c9221e1dfd4a,141102000,141100000,With Improvement,1100000.0,4400.0,,250.0,Lot with Improvement
113,e81a120e-1b96-4482-825d-f30480d3ae82,15532000,15500000,Vacant Lot,832000.0,897.0,,928.0,Vacant Lot
114,6692c6ff-a3ad-43da-8a25-784a51d443ea,15532000,15500000,Vacant Lot,1200000.9,600.0,,2000.0,Vacant Lot
115,db28d657-e300-4afd-9849-be4ce6eefce6,34903000,34900000,Vacant Lot,178000.0,501.0,,355.0,Vacant Lot
116,e8db2e8e-3fb1-4991-8f68-bd60f65c040f,34903000,34900000,Vacant Lot,181000.0,500.0,,362.0,Vacant Lot
117,2f712337-9a8f-49ce-beb8-2b57502ff87e,15532000,15500000,Vacant Lot,1308000.0,470.0,,2781.0,Vacant Lot
118,067b05ba-5463-4b60-a683-d170d90078ed,15532000,15500000,Vacant Lot,200000.4,200.0,,1000.0,Vacant Lot
119,6af16aa9-bd83-4cc2-a525-bb860139a1d2,15532000,15500000,Vacant Lot,199999.8,200.0,,1000.0,Vacant Lot
120,501a47fc-d431-498d-b23b-46272a869ab7,15532000,15500000,Vacant Lot,199999.8,200.0,,1000.0,Vacant Lot
121,fab98767-7170-4f63-b3af-fbc1b5bed1e7,64501000,64500000,Vacant Lot,288000.0,1200.0,,240.0,Vacant Lot
122,83ed18ea-8f35-44de-970c-5f1b18e364d4,15532000,15500000,Vacant Lot,899999.1,600.0,,1500.0,Vacant Lot
123,0266998c-2b02-4867-a02e-ac4bcdf14c8a,,45800000,With Improvement-Bundle,2838000.88,11000.0,,258.0,Lot with Improvement
124,05e9c82a-9f1d-4139-b3a4-fcda451efc32,126303000,126300000,Vacant Lot,2431000.0,600.0,,4051.0,Vacant Lot
125,783bdd0f-dc29-4f2b-8574-f715a4281966,43405000,43400000,With Improvement,1297200.0,4600.0,,282.0,Lot with Improvement
126,aee347f3-d9df-459d-9db3-6b19d12423f0,43405000,43400000,With Improvement-Bundle,1173000.0,4600.0,,255.0,Lot with Improvement
127,614ff860-f98d-49e8-a0b2-bd6eb407d281,112402000,112400000,Vacant Lot,450000.0,3000.0,,150.0,Vacant Lot
128,460fa9f6-f570-47b1-9b15-a3fab8ebc7e3,43405000,43400000,With Improvement,1715800.0,4600.0,,373.0,Lot with Improvement
129,d061c630-14c7-4b1d-9441-2d2abc6f6bd7,112402000,112400000,Vacant Lot,450000.0,3000.0,,150.0,Vacant Lot
130,792c3459-393c-4fe9-a6cd-5171ebced5cb,112402000,112400000,Vacant Lot,525000.0,3000.0,,175.0,Vacant Lot
131,64bd8efe-6495-4056-b7b4-2b93f379f826,112402000,112400000,Vacant Lot,609000.0,3000.0,,203.0,Vacant Lot
132,e4cd8ed9-63bd-4da2-a43d-89ed3804d9c8,43424000,43400000,Vacant Lot,1446000.0,6000.0,,241.0,Vacant Lot
133,909bde07-121d-4710-8936-7b892b87a190,43424000,43400000,Vacant Lot,1758000.0,6301.0,,279.0,Vacant Lot
134,827109bb-c9f8-4380-8337-7220a37be01a,133900000,130000000,Vacant Lot,3773000.0,11000.0,,343.0,Vacant Lot
135,c24e0935-e5fa-4052-8de0-a9627b386cb4,126303000,126300000,Vacant Lot,2172000.0,2400.0,,905.0,Vacant Lot
136,ee9cd802-f981-4ddc-9ba1-48c2d46b05e1,34903000,34900000,Vacant Lot,3775000.0,324.0,,11658.0,Vacant Lot
137,e88a5eeb-6e53-48b5-be57-9819a6188488,42106000,42100000,With Improvement,1320005.51,6000.0,,220.0,Lot with Improvement
