,geographyFk,capacityToPayPagibig,capacityToPayBank,houseMedianPrice,listingCount,pagIbigRequiredLoan,pagIbigAmortization,pagIbigCapacity,pagIbigGap,pagIbigLoanStatus,bankRequiredLoan,bankAmortization,bankCapacity,bankGap,bankLoanStatus
52,141102000.0,12926.55,11079.9,4845500.0,24,990000.0,5777.37,12926.55,7149.18,Applicable,880000.0,6822.63,11079.9,4257.27,Applicable
53,64501000.0,10708.95,9179.1,1146800.0,332,259200.0,1512.62,10708.95,9196.33,Applicable,230400.0,1786.29,9179.1,7392.81,Applicable
54,126303000.0,9678.2,8295.6,2172000.0,81,2187900.0,12767.99,9678.2,-3089.79,Not Applicable,1944800.0,15078.01,8295.6,-6782.41,Not Applicable
55,112402000.0,12043.15,10322.7,2163000.0,233,405000.0,2363.47,12043.15,9679.68,Applicable,360000.0,2791.08,10322.7,7531.62,Applicable
56,112402000.0,12043.15,10322.7,2163000.0,233,405000.0,2363.47,12043.15,9679.68,Applicable,360000.0,2791.08,10322.7,7531.62,Applicable
57,112402000.0,12043.15,10322.7,2163000.0,233,472500.0,2757.38,12043.15,9285.77,Applicable,420000.0,3256.26,10322.7,7066.44,Applicable
58,112402000.0,12043.15,10322.7,2163000.0,233,548100.0,3198.56,12043.15,8844.59,Applicable,487200.0,3777.26,10322.7,6545.44,Applicable
59,133900000.0,14081.55,12069.9,4013370.0,781,3395700.0,19816.38,14081.55,-5734.83,Not Applicable,3018400.0,23401.62,12069.9,-11331.72,Not Applicable
60,126303000.0,9678.2,8295.6,2172000.0,81,1954800.0,11407.68,9678.2,-1729.48,Not Applicable,1737600.0,13471.59,8295.6,-5175.99,Not Applicable
61,133900000.0,14081.55,12069.9,4013370.0,781,5346900.0,31203.06,14081.55,-17121.51,Not Applicable,4752800.0,36848.41,12069.9,-24778.51,Not Applicable
62,133900000.0,14081.55,12069.9,4013370.0,781,18847800.0,109990.64,14081.55,-95909.09,Not Applicable,16753600.0,129890.48,12069.9,-117820.58,Not Applicable
63,41005000.0,11729.9,10054.2,1538200.0,137,1231200.0,7184.95,11729.9,4544.95,Applicable,1094400.0,8484.87,10054.2,1569.33,Applicable
64,41005000.0,11729.9,10054.2,1538200.0,137,1231200.0,7184.95,11729.9,4544.95,Applicable,1094400.0,8484.87,10054.2,1569.33,Applicable
65,41005000.0,11729.9,10054.2,1538200.0,137,1231200.0,7184.95,11729.9,4544.95,Applicable,1094400.0,8484.87,10054.2,1569.33,Applicable
66,41005000.0,11729.9,10054.2,1538200.0,137,1231200.0,7184.95,11729.9,4544.95,Applicable,1094400.0,8484.87,10054.2,1569.33,Applicable
67,112402000.0,12043.15,10322.7,2163000.0,233,289217.71800000005,1687.8,12043.15,10355.35,Applicable,257082.41600000003,1993.16,10322.7,8329.54,Applicable
