geographyFk,houseMedianPrice,listingCount,pagIbigRequiredLoan,pagIbigAmmortization,pagIbigCapacity,pagIbigGap,pagIbigLoanStatus,bankRequiredLoan,bankAmmortization,bankCapacity,bankGap,bankLoanStatus
137504000,1696800.00,134,1527120,8911.86,11756.15,-2844.29,Applicable,1357440,10524.22,10076.70,447.52,Not Applicable
137603000,3260480.00,100,2934432,17124.55,14763.70,2360.85,Not Applicable,2608384,20222.77,12654.60,7568.17,Not Applicable
160202000,1623300.00,25,1460970,8525.82,11050.90,-2525.08,Applicable,1298640,10068.34,9472.20,596.14,Not Applicable
137402000,5295000.00,22,4765500,27810.16,16232.65,11577.51,Not Applicable,4236000,32841.66,13913.70,18927.96,Not Applicable
035401000,1767800.00,142,1591020,9284.76,14639.80,-5355.04,Applicable,1414240,10964.59,12548.40,-1583.81,Applicable
037107000,1600000.00,6,1440000,8403.45,11242.00,-2838.55,Applicable,1280000,9923.83,9636.00,287.83,Not Applicable
072230000,3657300.00,46,3291570,19208.71,12390.35,6818.36,Not Applicable,2925840,22684.01,10620.30,12063.71,Not Applicable
137405000,6065000.00,63,5458500,31854.32,24581.90,7272.42,Not Applicable,4852000,37617.50,21070.20,16547.30,Not Applicable
097332000,2044000.00,21,1839600,10735.41,8641.15,2094.26,Not Applicable,1635200,12677.69,7406.70,5270.99,Not Applicable
051600000,4800000.00,2,4320000,25210.35,8365.70,16844.65,Not Applicable,3840000,29771.48,7170.60,22600.88,Not Applicable
037700000,1598000.00,4,1438200,8392.94,8903.65,-510.71,Applicable,1278400,9911.42,7631.70,2279.72,Not Applicable
101800000,639000.00,1,575100,3356.13,9461.55,-6105.42,Applicable,511200,3963.33,8109.90,-4146.57,Applicable
060600000,1708000.00,5,1537200,8970.68,8943.55,27.13,Not Applicable,1366400,10593.68,7665.90,2927.78,Not Applicable
118200000,872100.00,2,784890,4580.40,8100.05,-3519.65,Applicable,697680,5409.11,6942.90,-1533.79,Applicable
175200000,6169000.00,1,5552100,32400.55,7769.30,24631.25,Not Applicable,4935200,38262.55,6659.40,31603.15,Not Applicable
166700000,4168000.00,1,3751200,21890.98,9732.80,12158.18,Not Applicable,3334400,25851.57,8342.40,17509.17,Not Applicable
013300000,1316000.00,1,1184400,6911.84,11471.95,-4560.11,Applicable,1052800,8162.35,9833.10,-1670.75,Applicable
056216000,168019000.00,2,151217100,882461.95,6986.70,875475.25,Not Applicable,134415200,1042119.61,5988.60,1036131.01,Not Applicable
083747000,3241000.00,2,2916900,17022.24,12076.05,4946.19,Not Applicable,2592800,20101.95,10350.90,9751.05,Not Applicable
099701000,2134000.00,31,1920600,11208.10,8734.25,2473.85,Not Applicable,1707200,13235.90,7486.50,5749.40,Not Applicable
137404000,2210000.00,997,1989000,11607.26,14020.30,-2413.04,Applicable,1768000,13707.29,12017.40,1689.89,Not Applicable
063022000,1304700.00,585,1174230,6852.49,9255.05,-2402.56,Applicable,1043760,8092.26,7932.90,159.36,Not Applicable
072217000,2856000.00,662,2570400,15000.16,8556.80,6443.36,Not Applicable,2284800,17714.03,7334.40,10379.63,Not Applicable
129804000,3884000.00,5,3495600,20399.37,8998.85,11400.52,Not Applicable,3107200,24090.09,7713.30,16376.79,Not Applicable
